key,value
8471214,Alex Ovechkin
8467412,Alexei Ponikarovsky
8468501,Anton Volchenkov
8471233,Travis Zajac
8475640,Erik Gustafsson
8476177,Matt Read
8474190,Wayne Simmonds
8468534,Andreas Lilja
8475603,Ben Holmstrom
8472410,Stephen Gionta
8474037,James van Riemsdyk
8474563,Drew Doughty
8473542,Tom Sestito
8476457,Adam Larsson
8474631,Marc-Andre Bourdon
8472382,Andy Greene
8474641,Adam Henrique
8474161,Jakub Voracek
8475972,Tyler Brown
8476461,Sean Couturier
8469454,Ilya Kovalchuk
8475170,Brayden Schenn
8468524,Ilya Bryzgalov
8470609,Steve Bernier
8471816,Mark Fayne
8471670,Guillaume Latendresse
8468486,Scott Hartnell
8470123,Cam Janssen
8473556,Yury Alexandrov
8470640,Matt Carle
8473512,Claude Giroux
8475775,Tye McGinn
8470920,David Clarkson
8475802,Louis-Marc Aubry
8468090,Garnet Exelby
8470601,Braydon Coburn
8475342,Oliver Lauridsen
8479312,Alex Lyon
8470755,Brad Richardson
8473658,Victor Bartley
8475325,Jordan Nolan
8474162,Jake Muzzin
8475096,Patrick Mullen
8474166,Alec Martinez
8470171,Max Talbot
8474892,Eric Wellwood
8471756,Oskars Bartulis
8471762,Chris VandeVelde
8474775,Robert Mayer
8476158,Harry Zolnierczyk
8475251,Igor Bobkov
8475185,Jacob Josefson
8472394,Peter Harrold
8473414,Leland Irving
8477246,Antoine Laganiere
8476949,Joey Laleggia
8469623,Marek Zidlicky
8468038,Michael Leighton
8474736,Zac Rinaldo
8471733,Rich Clune
8471734,Jonathan Quick
8468500,Alex Frolov
8474745,Paul Karpowich
8473646,Ryan Carter
8473997,Luca Caputi
8475255,Scott Stajcer
8475879,Mac Carruth
8459579,Patrick Lalime
8471269,Nicklas Grossmann
8470610,Zach Parise
8475430,Brandon Manning
8471636,Tim Sestito
8476209,Mike Sislo
8471712,Jeff Frazee
8471236,Andrej Meszaros
8473580,Matthew Corrente
8471365,Steven Zalewski
8473944,Matt Anderson
8475248,Alexander Urbom
8473592,Vladimir Zharkov
8467436,Jay Leach
8476234,Keith Kinkaid
8467881,Taylor Pyatt
8473544,Derick Brassard
8474678,Jason Missiaen
8475060,Matt Taormina
8473927,Brad Mills
8474614,Brandon Burlon
8474219,Dan Kelly
8475199,Eric Gelinas
8474023,Mike Hoeffel
8474582,Mattias Tedenby
8467452,Rob Scuderi
8471718,Marc-Andre Cliche
8470662,Colin Fraser
8476404,Andy Andreoff
8474594,Slava Voynov
8475160,Kyle Clifford
8471208,Dustin Penner
8474518,Davis Drewiske
8473908,Kevin Westgarth
